Field,Type,Null,Key,Default,Extra
Department_ID,int,NO,MUL,NULL,
Establishment_Year,year,NO,,NULL,
Department_Code,varchar(50),NO,PRI,NULL,
Email_ID,varchar(255),NO,UNI,NULL,
Department_Phone_Number,varchar(15),NO,UNI,NULL,
HOD_ID,bigint,YES,MUL,NULL,
Vision,text,YES,,NULL,
Mission,text,YES,,NULL,
Total_Faculty,int,YES,,NULL,
Total_Students,int,YES,,NULL,
Website_URL,varchar(255),YES,,NULL,
Notable_Achievements,text,YES,,NULL,
Industry_Collaboration,text,YES,,NULL,
Research_Focus_Area,text,YES,,NULL,
